arc_id;user_id;polarity;subjectivity;lang;TextBlob;lat;long
909;636562071;-1.0;1.0;en;@harry_styles i saw it eeew was it as disgusting as i think ??;48.21290401;16.52656487
3701;33886288;-1.0;0.9;en;dont be a racist - hate everyone!;48.22322483;16.42609349
4590;831914852;-1.0;1.0;en;evil child! ;48.209949;16.373848
7000;464812766;-1.0;1.0;;boring?? :d  @ rudolfstiftung ;48.19649244;16.3903538
7218;45879724;-1.0;1.0;en;i saw a shop selling rolex watches, and now i have the rolex sweep stuck in my head. what an awful song.;48.204227;16.370715
8735;2177313951;-1.0;0.8;en;omg! @kimkardashian did that guy just say n****** in vienna??!!!!! i am in shock!!! what an idiot!!!;48.25137568;16.29239982
9130;623681089;-1.0;1.0;de;"muslima brutal attackiert!  lendenwirbelbruch! 
wir verurteilen d. vorfall auf das schrfste und hoffen um aufklrung.";48.171623;16.418987
9822;110575952;-1.0;1.0;es;que horrible mente cansado es caminar por los palacios de viena #mamon;48.22195011;16.37186302
11573;148589033;-1.0;1.0;;"officially made the worst call of my life. 
challenge for the night, not to go on tilt. 
#challengeaccepted
#";48.18571299;16.42136041
13352;234538037;-1.0;1.0;en;@coffeeshop_co coffee is utterly dreadful. the espresso is weaker than starbucks. disgusting/schlecht/furchtbar! achtung #crimeagainstcoffee;48.20742138;16.37892635
13647;936995424;-1.0;1.0;en;@helen_smyth awful sister ;48.193413;16.335503
14169;324282534;-1.0;1.0;en;you have options. you can either continue to be miserable or you can just accept the way things are;48.201976;16.3918358
909;636562071;-1.0;1.0;en;@harry_styles i saw it eeew was it as disgusting as i think ??;48.21290401;16.52656487
3701;33886288;-1.0;0.9;en;dont be a racist - hate everyone!;48.22322483;16.42609349
4590;831914852;-1.0;1.0;en;evil child! ;48.209949;16.373848
7000;464812766;-1.0;1.0;;boring?? :d  @ rudolfstiftung ;48.19649244;16.3903538
7218;45879724;-1.0;1.0;en;i saw a shop selling rolex watches, and now i have the rolex sweep stuck in my head. what an awful song.;48.204227;16.370715
8735;2177313951;-1.0;0.8;en;omg! @kimkardashian did that guy just say n****** in vienna??!!!!! i am in shock!!! what an idiot!!!;48.25137568;16.29239982
9130;623681089;-1.0;1.0;de;"muslima brutal attackiert!  lendenwirbelbruch! 
wir verurteilen d. vorfall auf das schrfste und hoffen um aufklrung.";48.171623;16.418987
9822;110575952;-1.0;1.0;es;que horrible mente cansado es caminar por los palacios de viena #mamon;48.22195011;16.37186302
11573;148589033;-1.0;1.0;;"officially made the worst call of my life. 
challenge for the night, not to go on tilt. 
#challengeaccepted
#";48.18571299;16.42136041
13352;234538037;-1.0;1.0;en;@coffeeshop_co coffee is utterly dreadful. the espresso is weaker than starbucks. disgusting/schlecht/furchtbar! achtung #crimeagainstcoffee;48.20742138;16.37892635
13647;936995424;-1.0;1.0;en;@helen_smyth awful sister ;48.193413;16.335503
14169;324282534;-1.0;1.0;en;you have options. you can either continue to be miserable or you can just accept the way things are;48.201976;16.3918358
9110;766976759304683520;-0.9765625;1.0;und;"aj sad grobare da ujem kako se ale da su dobili ""pretekog protivnika!!! #ueldraw #fkcz #napredzvezdo";48.1478145;16.2686251
9110;766976759304683520;-0.9765625;1.0;und;"aj sad grobare da ujem kako se ale da su dobili ""pretekog protivnika!!! #ueldraw #fkcz #napredzvezdo";48.1478145;16.2686251
8491;38639438;-0.9375;0.9;de;@rudifussi dangerous! selbstndig seit 1991!;48.16141109;16.27729173
8491;38639438;-0.9375;0.9;de;@rudifussi dangerous! selbstndig seit 1991!;48.16141109;16.27729173
8626;1076522120;-0.9;1.0;pl;@waeeeee @shuenx retard hhhahahah;48.19337781;16.33434639
17717;324282534;-0.9;1.0;en;i thought i am not going ....... he made me wakeup ... and now like a retard going .... no no no;48.19981108;16.39416921
18058;1459528819;-0.9;0.95;en;the worst is that i dont know if you hate me now;48.20683367;16.23752343
8626;1076522120;-0.9;1.0;pl;@waeeeee @shuenx retard hhhahahah;48.19337781;16.33434639
17717;324282534;-0.9;1.0;en;i thought i am not going ....... he made me wakeup ... and now like a retard going .... no no no;48.19981108;16.39416921
18058;1459528819;-0.9;0.95;en;the worst is that i dont know if you hate me now;48.20683367;16.23752343
8788;444798078;-0.875;1.0;de;@chmelar_dieter der vergleich hinkt brutal. steuerzahler ist kein beruf, fr den man bezahlt wird. berufssoldat schon.;48.20600421;16.38393907
13436;930661;-0.875;1.0;en;credit to giants d. keeping rubber on dicko to a minimum. in saying that, the kelmans are brutal.;48.170279;16.374859
8788;444798078;-0.875;1.0;de;@chmelar_dieter der vergleich hinkt brutal. steuerzahler ist kein beruf, fr den man bezahlt wird. berufssoldat schon.;48.20600421;16.38393907
13436;930661;-0.875;1.0;en;credit to giants d. keeping rubber on dicko to a minimum. in saying that, the kelmans are brutal.;48.170279;16.374859
1003;84822259;-0.8749999999999998;0.6666666666666666;en;bad day?! ;48.23576;16.439061
1003;84822259;-0.8749999999999998;0.6666666666666666;en;bad day?! ;48.23576;16.439061
531;84822259;-0.8138020833333331;0.6666666666666666;en;@aboogahl @ablafahita @ramiii are you fuckin serious?!!!!;48.235733;16.439107
531;84822259;-0.8138020833333331;0.6666666666666666;en;@aboogahl @ablafahita @ramiii are you fuckin serious?!!!!;48.235733;16.439107
957;495678750;-0.8;0.9;en;i am coming home. hate to say bye to europe but i am gonna start anew. #jta #sepanx #anew;48.16702963;16.3840669
1175;299499939;-0.8;0.9;en;people now a days will find any given reason to hate on you;48.20495644;16.37669422
1502;36851713;-0.8;0.9;;i hate, emphasis on the hate my sisters attitude. she needs to get her head out of her ass.;48.20338079;16.36531733
1576;274593694;-0.8;0.9;en;"@_dilaramalik yeah...she also said something about louis voice but both of our fandoms sent her hate afterwards and i think shes &gt;";48.28802762;16.41073181
3887;1063076700;-0.8;0.9;en;truecaller grabs $60m to help you avoid spammers and annoying calls #humanrights  #leader ;48.20849;16.37208
4406;111333935;-0.8;1.0;de;i am at base 11 studentenheim (wien) ;48.18402317;16.4170273
10752;244647556;-0.8;0.9;;"@alienzero             
i hate saudi arabia";48.27690027;16.37856003
11038;37394881;-0.8;0.9;;i hate winter. it makes me moody. and i hate couples in winter. fml.;48.23391895;16.36635559
11155;324282534;-0.8;0.9;en;hai hai @abhisekhmaskey: i hate people who steal my ideas, before i think of them.;48.20881441;16.35981578
11668;179257031;-0.8;1.0;de;i am at base 11 studentenheim (wien) ;48.18377998;16.41700593
12301;134395963;-0.8;0.9;en;yes i am that annoying customer in #starbucks i know what i want #thatcustomer #reallyawkward #coffee ;48.208715;16.369641
12570;1575079867;-0.8;0.9;en;my parents hate me;48.22097036;16.38321863
15133;130658474;-0.8;0.9;ja;"
everybody hate me!?? hi, unhappy";48.18389629;16.41701156
15345;859945602;-0.8;0.8;en;"*realize that my life is acutually crap* *jessie j voice* ""i can not believe that this is my life""";48.2319858;16.3933757
15893;14331878;-0.8;1.0;en;i am at wombats city hostel vienna - the base - @wombatshostels (vienna, wien) w/ 2 others [pic]: ;48.19433123;16.33093544
16440;193961276;-0.8;0.8;en;its 1 in the morning why is this keeping me up i just wanted to be horny and then sleep not this crap;48.290508;16.380367
17411;29316633;-0.8;0.9;en;fucking hate italians;48.20119;16.3461
18073;14849427;-0.8;1.0;es;@knskumo nada, se queda con 4gb. los modulos van soldados a la placa base. applestyle;48.2056827;16.39917214
18075;808321656;-0.8;1.0;tr;@erim_kemal hayirli aksamlar hocam... nasildi... avani base?;48.1829131;16.3653099
957;495678750;-0.8;0.9;en;i am coming home. hate to say bye to europe but i am gonna start anew. #jta #sepanx #anew;48.16702963;16.3840669
1175;299499939;-0.8;0.9;en;people now a days will find any given reason to hate on you;48.20495644;16.37669422
