arc_id;user_id;polarity;subjectivity;lang;TextBlob;lat;long
33220;387989240;-1.0;1.0;de;front national gewinnt die europawahl in frankreich, afd 6.5 in deutschland. was geht ab in europa zur zeit? disgusting.;48.11753667;11.54694637
34527;58037164;-1.0;1.0;;tummy pain :(!!!;48.13723;11.57531
35466;37258268;-1.0;0.8;;welcher idiot denkt sich eig aus das parken am see auf 2 stunden zu begrenzen?!;48.12973713;11.71186039
39183;53893147;-1.0;1.0;de;vegetarians worst nightmare. @ haxenbauer mnchen ;48.137582;11.578434
41631;597390601;-1.0;1.0;sv; boring!;48.1731049;11.5949324
42098;1508656002;-1.0;1.0;en;this is so boring ;48.12783388;11.6034566
42113;113949372;-1.0;1.0;;"sayangg,,aku td pan skolaanyaaa.. :( ""@rizkyfirty: bolos aja gitu besok yaa????? @seftiramargisae kita ngedate!!""";48.1589485;11.4612286
43989;39565865;-1.0;0.8;en;fucking hangover !!!;48.107077;11.476983
44472;540887719;-1.0;1.0;ar;" :
{     ..
.
.
.
  !!
.
.

?   [] . .
    ";48.148466;11.588628
44482;121262614;-1.0;1.0;en;you.n. declares 2014 a devastating year for millions of children ;48.147586;11.58562
44923;101417672;-1.0;1.0;de;warum hat die christi gewonnen? die katja war doch die beste! #spitze!!!  :( #shoppingqueen entuscht!! you.you;48.1777247;11.5112106
45371;563224502;-1.0;1.0;en;this bmw world is insane ;48.17748899;11.55595784
46249;71528370;-1.0;1.0;;pm: resident evil: retribution - live-web-chat mit milla jovovich und  ...  ;48.136607;11.577085
48415;81621028;-1.0;1.0;tr;nova base da maybelline em gel! #munich #munique #alemanha #visitmunich #feliznaalemanha @ ;48.13744;11.5747199
33220;387989240;-1.0;1.0;de;front national gewinnt die europawahl in frankreich, afd 6.5 in deutschland. was geht ab in europa zur zeit? disgusting.;48.11753667;11.54694637
34527;58037164;-1.0;1.0;;tummy pain :(!!!;48.13723;11.57531
35466;37258268;-1.0;0.8;;welcher idiot denkt sich eig aus das parken am see auf 2 stunden zu begrenzen?!;48.12973713;11.71186039
39183;53893147;-1.0;1.0;de;vegetarians worst nightmare. @ haxenbauer mnchen ;48.137582;11.578434
41631;597390601;-1.0;1.0;sv; boring!;48.1731049;11.5949324
42098;1508656002;-1.0;1.0;en;this is so boring ;48.12783388;11.6034566
42113;113949372;-1.0;1.0;;"sayangg,,aku td pan skolaanyaaa.. :( ""@rizkyfirty: bolos aja gitu besok yaa????? @seftiramargisae kita ngedate!!""";48.1589485;11.4612286
43989;39565865;-1.0;0.8;en;fucking hangover !!!;48.107077;11.476983
44472;540887719;-1.0;1.0;ar;" :
{     ..
.
.
.
  !!
.
.

?   [] . .
    ";48.148466;11.588628
44482;121262614;-1.0;1.0;en;you.n. declares 2014 a devastating year for millions of children ;48.147586;11.58562
44923;101417672;-1.0;1.0;de;warum hat die christi gewonnen? die katja war doch die beste! #spitze!!!  :( #shoppingqueen entuscht!! you.you;48.1777247;11.5112106
45371;563224502;-1.0;1.0;en;this bmw world is insane ;48.17748899;11.55595784
46249;71528370;-1.0;1.0;;pm: resident evil: retribution - live-web-chat mit milla jovovich und  ...  ;48.136607;11.577085
48415;81621028;-1.0;1.0;tr;nova base da maybelline em gel! #munich #munique #alemanha #visitmunich #feliznaalemanha @ ;48.13744;11.5747199
35682;362749892;-0.9375;1.0;ar;#    :( ..! ;48.09452804;11.51577319
36954;447350126;-0.9375;1.0;;"@alhammadi_s:    (      )        !

";48.12061012;11.66508591
39170;53223277;-0.9375;1.0;;@loerra das ist echt mies :( aber ich wnsch dir viel erfolg! :*;48.13613267;11.45388153
43231;49391740;-0.9375;1.0;;@filleducalvaire cest un peu pareil pour tout le monde :( (on se rassure, hein!);48.18247183;11.60977411
35682;362749892;-0.9375;1.0;ar;#    :( ..! ;48.09452804;11.51577319
36954;447350126;-0.9375;1.0;;"@alhammadi_s:    (      )        !

";48.12061012;11.66508591
39170;53223277;-0.9375;1.0;;@loerra das ist echt mies :( aber ich wnsch dir viel erfolg! :*;48.13613267;11.45388153
43231;49391740;-0.9375;1.0;;@filleducalvaire cest un peu pareil pour tout le monde :( (on se rassure, hein!);48.18247183;11.60977411
34010;220451112;-0.875;1.0;;oh how to spend a miserably rainy day in mnchen :(;48.14257061;11.55797417
34010;220451112;-0.875;1.0;;oh how to spend a miserably rainy day in mnchen :(;48.14257061;11.55797417
38259;66404929;-0.8749999999999998;0.6666666666666666;en;@omgfacts:   i want this so badly! ;48.13934;11.546118
48324;195862853;-0.8749999999999998;0.6666666666666666;de;"ich htte mal wieder lust ein richtig fetten burger vom palm beach in bad cannstatt zu essen..mit riesigen pommes!
#stuttgartmutterstadt";48.09896638;11.61031421
38259;66404929;-0.8749999999999998;0.6666666666666666;en;@omgfacts:   i want this so badly! ;48.13934;11.546118
48324;195862853;-0.8749999999999998;0.6666666666666666;de;"ich htte mal wieder lust ein richtig fetten burger vom palm beach in bad cannstatt zu essen..mit riesigen pommes!
#stuttgartmutterstadt";48.09896638;11.61031421
39934;19279472;-0.8571428571428572;0.9285714285714286;de;being thirsty is worst than being home sick  with naddy (@ hofbruhaus - @hofbraeuhausmuc)  ;48.137695;11.580026
39934;19279472;-0.8571428571428572;0.9285714285714286;de;being thirsty is worst than being home sick  with naddy (@ hofbruhaus - @hofbraeuhausmuc)  ;48.137695;11.580026
36587;120736469;-0.8;0.9;;i hate when the bank switches of its escalators when i stay longer.;48.14877039;11.61667191
40068;1893968568;-0.8;0.8;de;"""sehe ich aus wie ein idiot in strumphosen?"" vollkommen richtige antwort ""ja"" #tatort";48.10983794;11.4784146
42731;158102181;-0.8;0.9;;football.  bloody hell.;48.21237793;11.61781484
44521;737506722;-0.8;0.9;en;i hate the fact that i am having a sister;48.13746841;11.55662474
36587;120736469;-0.8;0.9;;i hate when the bank switches of its escalators when i stay longer.;48.14877039;11.61667191
40068;1893968568;-0.8;0.8;de;"""sehe ich aus wie ein idiot in strumphosen?"" vollkommen richtige antwort ""ja"" #tatort";48.10983794;11.4784146
42731;158102181;-0.8;0.9;;football.  bloody hell.;48.21237793;11.61781484
44521;737506722;-0.8;0.9;en;i hate the fact that i am having a sister;48.13746841;11.55662474
